loan_id,farmer_id,region,land_holding_acres,prior_loan_count,prior_defaults,crop_type,season,loan_amount,interest_rate,loan_to_land_ratio,repayment_status,days_overdue
L100113,F20113,Daund,1.8,1,1,Sugarcane,Rabi,23700,7.38,13167,Defaulted,188
L100114,F20114,Daund,7,2,0,Soybean,Kharif,87900,8.76,12557,Defaulted,226
L100115,F20115,Daund,1.2,1,0,Jowar,Kharif,15000,8.08,12500,Defaulted,255
L100116,F20116,Daund,6.3,0,0,Sugarcane,Kharif,79800,11.96,12667,"Paid On Time",0
L100117,F20117,Baramati,3.5,5,0,Soybean,Rabi,59100,9.79,16886,"Paid Late",16
L100118,F20118,Baramati,2.9,2,0,Sugarcane,Kharif,20200,8.8,6966,"Paid On Time",0
L100119,F20119,Indapur,2.8,3,0,Soybean,Kharif,40000,10.21,14286,"Paid On Time",0
L100120,F20120,Baramati,3.2,1,0,Cotton,Rabi,37700,9.27,11781,"Paid On Time",0
L100121,F20121,Daund,2.6,2,0,Sugarcane,Rabi,35700,8.04,13731,"Paid On Time",0
L100122,F20122,Phaltan,4.6,0,0,Onion,Kharif,43100,8.97,9370,"Paid Late",40
L100123,F20123,Phaltan,2.7,1,0,Wheat,Kharif,20100,8.43,7444,"Paid On Time",0
L100124,F20124,Daund,3.5,2,1,Jowar,Rabi,42200,10.19,12057,Defaulted,307
L100125,F20125,Malshiras,0.9,1,0,Onion,Kharif,15000,11.08,16667,"Paid On Time",0
L100126,F20126,Daund,3.5,2,0,Onion,Kharif,41500,8.31,11857,"Paid On Time",0
L100127,F20127,Baramati,2.6,3,0,Wheat,Kharif,30900,10.11,11885,"Paid Late",8
L100128,F20128,Phaltan,6,2,0,Cotton,Kharif,69200,10.54,11533,"Paid On Time",0
L100129,F20129,Daund,3,1,0,Jowar,Rabi,41600,8.85,13867,"Paid On Time",0
L100130,F20130,Phaltan,5.5,1,0,Soybean,Rabi,46500,9.44,8455,"Paid On Time",0
L100131,F20131,Daund,5.1,2,0,Cotton,Kharif,65700,8.79,12882,"Paid On Time",0
L100132,F20132,Daund,5.2,4,0,Soybean,Rabi,55200,8.86,10615,"Paid On Time",0
L100133,F20133,Baramati,3,1,0,Cotton,Rabi,34200,9.23,11400,"Paid Late",13
L100134,F20134,Daund,3.6,0,0,Soybean,Rabi,42500,8.48,11806,"Paid Late",28
L100135,F20135,Phaltan,4.5,2,0,Jowar,Kharif,60700,9.44,13489,"Paid On Time",0
L100136,F20136,Indapur,3.7,0,0,Soybean,Kharif,57900,10.76,15649,"Paid Late",32
L100137,F20137,Phaltan,3,1,0,Cotton,Rabi,29600,8.97,9867,"Paid Late",53
L100138,F20138,Baramati,1.9,1,0,Sugarcane,Rabi,21300,11.73,11211,"Paid On Time",0
L100139,F20139,Indapur,3.5,0,0,Jowar,Kharif,37700,8.09,10771,"Paid Late",36
L100140,F20140,Daund,1.3,2,0,Soybean,Kharif,16600,9.25,12769,"Paid Late",24
L100141,F20141,Malshiras,0.9,2,2,Soybean,Kharif,15000,10.01,16667,Defaulted,227
L100142,F20142,Indapur,1.6,3,0,Jowar,Kharif,22600,9.72,14125,"Paid On Time",0
L100143,F20143,Indapur,5.2,3,1,Jowar,Kharif,70800,11.73,13615,Defaulted,194
L100144,F20144,Daund,4,2,1,Soybean,Kharif,39000,8.62,9750,"Paid On Time",0
L100145,F20145,Malshiras,5.2,2,0,Wheat,Kharif,82600,8.89,15885,"Paid On Time",0
L100146,F20146,Malshiras,2.2,1,1,Cotton,Rabi,31300,9.98,14227,"Paid On Time",0
L100147,F20147,Baramati,6.4,1,1,Onion,Rabi,61900,9.98,9672,"Paid On Time",0
L100148,F20148,Indapur,1.4,3,1,Soybean,Kharif,15000,10.94,10714,"Paid Late",44
L100149,F20149,Malshiras,1.7,3,3,Wheat,Kharif,29700,10.97,17471,Defaulted,350
L100150,F20150,Baramati,6.3,2,0,Sugarcane,Kharif,77200,7.05,12254,"Paid On Time",0
L100151,F20151,Malshiras,3.8,1,0,Wheat,Kharif,36600,10.82,9632,Defaulted,264
L100152,F20152,Indapur,5.2,0,0,Cotton,Rabi,84900,10.59,16327,Defaulted,243
L100153,F20153,Malshiras,4,1,1,Soybean,Kharif,64500,9.93,16125,"Paid On Time",0
L100154,F20154,Indapur,2.4,1,0,Wheat,Rabi,35700,8.58,14875,Defaulted,194
L100155,F20155,Daund,1.6,2,0,Jowar,Kharif,28700,11.54,17938,"Paid On Time",0
L100156,F20156,Phaltan,1,1,0,Cotton,Rabi,15000,10.69,15000,"Paid Late",21
L100157,F20157,Baramati,9.4,2,0,Jowar,Rabi,113400,8.29,12064,"Paid On Time",0
L100158,F20158,Daund,1.2,2,1,Cotton,Rabi,16900,8.53,14083,Defaulted,174
L100159,F20159,Daund,7.8,3,0,Soybean,Rabi,78100,10.55,10013,"Paid On Time",0
L100160,F20160,Phaltan,3.7,1,0,Sugarcane,Kharif,28500,11.59,7703,"Paid On Time",0
L100161,F20161,Malshiras,4.1,0,0,Cotton,Kharif,45300,9.45,11049,"Paid On Time",0
L100162,F20162,Phaltan,3.9,2,0,Jowar,Kharif,57000,11.4,14615,"Paid Late",49
L100163,F20163,Daund,4.8,1,0,Sugarcane,Rabi,60800,8.91,12667,"Paid On Time",0
L100164,F20164,Daund,2.1,1,1,Onion,Rabi,30200,8.98,14381,"Paid On Time",0
L100165,F20165,Daund,0.8,0,0,Cotton,Kharif,15000,10.43,18750,Defaulted,143
L100166,F20166,Malshiras,2.4,0,0,Wheat,Rabi,30400,7.25,12667,"Paid Late",32
L100167,F20167,Indapur,4.6,2,0,Sugarcane,Kharif,40100,7.69,8717,"Paid On Time",0
L100168,F20168,Baramati,1.7,0,0,Wheat,Kharif,23900,10.64,14059,Defaulted,309
L100169,F20169,Indapur,6.5,3,0,Onion,Rabi,93400,8.21,14369,"Paid On Time",0
L100170,F20170,Baramati,3.2,3,0,Soybean,Kharif,53600,7.88,16750,"Paid On Time",0
L100171,F20171,Baramati,1.6,1,0,Cotton,Kharif,17000,7.45,10625,Defaulted,259
L100172,F20172,Baramati,3.8,0,0,Jowar,Rabi,37700,8.12,9921,"Paid On Time",0
L100173,F20173,Phaltan,4.5,2,0,Wheat,Kharif,48100,8.25,10689,"Paid Late",11
L100174,F20174,Phaltan,4.7,2,0,Sugarcane,Kharif,57700,8.71,12277,"Paid On Time",0
L100175,F20175,Phaltan,6.3,0,0,Wheat,Kharif,51100,11.69,8111,Defaulted,146
L100176,F20176,Daund,1.3,1,0,Wheat,Kharif,15000,10.22,11538,"Paid On Time",0
L100177,F20177,Phaltan,6.3,1,1,Jowar,Rabi,63400,10.47,10063,"Paid On Time",0
L100178,F20178,Baramati,6.7,1,0,Cotton,Rabi,76300,7.66,11388,"Paid On Time",0
L100179,F20179,Malshiras,1.6,0,0,Soybean,Kharif,17000,7.96,10625,Defaulted,356
L100180,F20180,Daund,1.8,2,0,Onion,Rabi,15400,11.49,8556,"Paid On Time",0
L100181,F20181,Malshiras,5.4,1,0,Soybean,Rabi,57000,10.17,10556,"Paid On Time",0
L100182,F20182,Baramati,2.7,2,1,Soybean,Rabi,28400,11.05,10519,"Paid Late",34
L100183,F20183,Daund,7.3,2,0,Onion,Rabi,65700,8.79,9000,Defaulted,121
L100184,F20184,Phaltan,8.5,2,0,Cotton,Kharif,110900,9.89,13047,"Paid Late",29
L100185,F20185,Daund,1.6,1,1,Soybean,Rabi,15300,9.51,9562,"Paid On Time",0
L100186,F20186,Daund,2.1,0,0,Jowar,Kharif,21500,8.03,10238,"Paid On Time",0
L100187,F20187,Baramati,3.7,2,1,Wheat,Kharif,38800,11.12,10486,Defaulted,329
L100188,F20188,Indapur,0.8,1,0,Onion,Kharif,15000,8.67,18750,"Paid Late",8
L100189,F20189,Indapur,1,2,0,Wheat,Kharif,15000,9.33,15000,"Paid On Time",0
L100190,F20190,Indapur,1.9,2,0,Cotton,Kharif,18500,7.66,9737,"Paid Late",34
L100191,F20191,Phaltan,10.3,2,0,Soybean,Rabi,100100,10.19,9718,"Paid Late",19
L100192,F20192,Phaltan,4.1,2,0,Sugarcane,Kharif,36000,10.96,8780,"Paid Late",37
L100193,F20193,Phaltan,2.3,0,0,Onion,Kharif,24200,9.05,10522,Defaulted,362
L100194,F20194,Indapur,1.8,4,0,Sugarcane,Rabi,17100,11.89,9500,"Paid On Time",0
L100195,F20195,Malshiras,1.6,0,0,Soybean,Kharif,18800,8.29,11750,"Paid On Time",0
L100196,F20196,Baramati,2.4,3,0,Soybean,Kharif,38600,11.37,16083,"Paid On Time",0
L100197,F20197,Indapur,2.3,0,0,Sugarcane,Rabi,21900,10.61,9522,"Paid On Time",0
L100198,F20198,Baramati,3,1,0,Cotton,Rabi,36100,11.64,12033,"Paid On Time",0
L100199,F20199,Indapur,4.7,0,0,Wheat,Rabi,35500,10.7,7553,"Paid On Time",0
L100200,F20200,Malshiras,3.3,2,1,Sugarcane,Kharif,33400,9.47,10121,Defaulted,341
L100201,F20201,Indapur,5.6,0,0,Onion,Kharif,90500,9.07,16161,Defaulted,168
L100202,F20202,Malshiras,2.9,0,0,Onion,Rabi,28300,11.15,9759,"Paid On Time",0
L100203,F20203,Daund,8.9,2,0,Sugarcane,Rabi,86000,11.2,9663,"Paid Late",54
L100204,F20204,Phaltan,5.5,1,0,Jowar,Kharif,74200,9.94,13491,"Paid Late",38
L100205,F20205,Daund,4,0,0,Cotton,Rabi,71900,10.51,17975,Defaulted,96
L100206,F20206,Indapur,4.7,1,0,Sugarcane,Rabi,67600,9.31,14383,"Paid On Time",0
L100207,F20207,Phaltan,2.4,0,0,Cotton,Kharif,29100,8.09,12125,"Paid On Time",0
L100208,F20208,Malshiras,3,1,0,Jowar,Kharif,37500,7.25,12500,"Paid On Time",0
L100209,F20209,Indapur,2.9,1,0,Wheat,Kharif,38100,10.27,13138,"Paid On Time",0
L100210,F20210,Phaltan,2.1,0,0,Cotton,Rabi,28900,10.35,13762,"Paid On Time",0
L100211,F20211,Indapur,1.4,0,0,Wheat,Kharif,16800,10.33,12000,"Paid On Time",0
L100212,F20212,Phaltan,4.8,2,0,Wheat,Rabi,53800,9.81,11208,"Paid On Time",0
L100213,F20213,Phaltan,6.1,2,0,Wheat,Kharif,67600,8.71,11082,"Paid On Time",0
L100214,F20214,Daund,4.4,0,0,Soybean,Rabi,28900,8.21,6568,"Paid Late",33
L100215,F20215,Phaltan,3.3,0,0,Jowar,Kharif,28700,7.33,8697,"Paid Late",22
L100216,F20216,Indapur,11.4,0,0,Wheat,Rabi,115500,7.74,10132,"Paid On Time",0
L100217,F20217,Baramati,2.3,1,0,Sugarcane,Kharif,20600,10.14,8957,"Paid Late",8
L100218,F20218,Baramati,4.1,3,0,Jowar,Rabi,49900,10.84,12171,"Paid On Time",0
L100219,F20219,Daund,6.7,3,0,Cotton,Rabi,90500,11.54,13507,Defaulted,226
L100220,F20220,Malshiras,1.7,0,0,Wheat,Kharif,15800,7.42,9294,"Paid On Time",0
L100221,F20221,Baramati,5.1,1,0,Wheat,Rabi,54200,11.07,10627,"Paid On Time",0
L100222,F20222,Daund,9.3,1,0,Cotton,Kharif,129300,9.99,13903,"Paid On Time",0
L100223,F20223,Phaltan,3.5,2,0,Sugarcane,Rabi,48500,8.51,13857,"Paid On Time",0
L100224,F20224,Indapur,3.8,1,0,Wheat,Kharif,41700,10.63,10974,"Paid On Time",0
L100225,F20225,Phaltan,2.3,2,0,Jowar,Rabi,27300,11.95,11870,Defaulted,127
L100226,F20226,Indapur,4.7,1,0,Jowar,Rabi,70600,8.9,15021,"Paid On Time",0
L100227,F20227,Malshiras,2.1,2,0,Wheat,Rabi,17300,10.14,8238,"Paid On Time",0
L100228,F20228,Daund,3.3,4,1,Cotton,Kharif,43800,8.3,13273,Defaulted,351
L100229,F20229,Daund,1.3,3,1,Cotton,Kharif,16300,8.03,12538,Defaulted,176
L100230,F20230,Baramati,0.6,0,0,Jowar,Rabi,15000,7.75,25000,Defaulted,386
L100231,F20231,Daund,2.6,1,0,Soybean,Kharif,20500,7.16,7885,"Paid Late",13
L100232,F20232,Malshiras,2.5,1,0,Wheat,Rabi,25800,10.62,10320,"Paid On Time",0
L100233,F20233,Baramati,2.7,1,0,Cotton,Kharif,43300,7.73,16037,"Paid On Time",0
L100234,F20234,Phaltan,5.4,1,0,Sugarcane,Kharif,79300,10.38,14685,"Paid On Time",0
L100235,F20235,Daund,6.2,1,0,Wheat,Rabi,87400,11.35,14097,"Paid On Time",0
L100236,F20236,Phaltan,4.2,3,0,Wheat,Kharif,47200,11.23,11238,"Paid Late",15
L100237,F20237,Phaltan,5.2,0,0,Wheat,Kharif,43900,8.49,8442,"Paid Late",55
L100238,F20238,Daund,2.1,4,2,Cotton,Kharif,30300,7.62,14429,"Paid On Time",0
L100239,F20239,Indapur,1.8,3,0,Jowar,Rabi,22700,9.22,12611,"Paid On Time",0
L100240,F20240,Phaltan,4.7,1,0,Soybean,Rabi,39000,7.91,8298,"Paid On Time",0
L100241,F20241,Baramati,1.6,1,1,Jowar,Rabi,18100,8.87,11312,"Paid On Time",0
L100242,F20242,Daund,1.5,1,0,Wheat,Kharif,15000,9.84,10000,"Paid Late",9
L100243,F20243,Baramati,15.1,2,0,Soybean,Kharif,249600,10.22,16530,Defaulted,195
L100244,F20244,Phaltan,3.6,3,0,Wheat,Kharif,38300,8.09,10639,"Paid On Time",0
L100245,F20245,Phaltan,2.5,3,0,Soybean,Kharif,21700,8.14,8680,"Paid On Time",0
L100246,F20246,Baramati,2.4,1,1,Soybean,Kharif,28000,11.33,11667,"Paid On Time",0
L100247,F20247,Phaltan,1.3,1,0,Wheat,Kharif,18100,11.72,13923,"Paid Late",46
L100248,F20248,Daund,4.1,1,0,Sugarcane,Kharif,41500,10.21,10122,"Paid On Time",0
L100249,F20249,Phaltan,2.9,0,0,Onion,Rabi,31600,9.78,10897,"Paid On Time",0
L100250,F20250,Baramati,6.1,2,0,Cotton,Kharif,102000,10.29,16721,"Paid On Time",0
L100251,F20251,Baramati,4.8,8,1,Cotton,Kharif,56300,7.64,11729,Defaulted,311
L100252,F20252,Daund,2.8,4,1,Jowar,Kharif,28700,11.49,10250,"Paid On Time",0
L100253,F20253,Baramati,0.9,2,0,Cotton,Kharif,15000,8.04,16667,Defaulted,356
L100254,F20254,Indapur,3.6,4,0,Onion,Rabi,53600,10.35,14889,"Paid On Time",0
L100255,F20255,Phaltan,3.4,1,0,Soybean,Rabi,51200,8.11,15059,"Paid On Time",0
L100256,F20256,Baramati,0.8,1,0,Cotton,Rabi,15000,10.53,18750,"Paid On Time",0
L100257,F20257,Phaltan,4.5,1,1,Sugarcane,Kharif,59800,10.77,13289,"Paid Late",27
L100258,F20258,Baramati,1.6,0,0,Sugarcane,Kharif,19600,10.71,12250,"Paid On Time",0
L100259,F20259,Baramati,6.3,2,1,Sugarcane,Rabi,67500,9.14,10714,"Paid On Time",0
L100260,F20260,Daund,3.3,1,0,Sugarcane,Rabi,32800,10.04,9939,Defaulted,183
L100261,F20261,Phaltan,2.3,0,0,Cotton,Kharif,40900,9.99,17783,"Paid Late",10
L100262,F20262,Baramati,3.9,0,0,Cotton,Kharif,56800,10.6,14564,"Paid On Time",0
L100263,F20263,Indapur,3.8,3,1,Soybean,Rabi,46900,9.5,12342,Defaulted,163
L100264,F20264,Malshiras,3.7,3,1,Cotton,Rabi,28900,9.54,7811,"Paid On Time",0
L100265,F20265,Malshiras,5.8,0,0,Sugarcane,Kharif,65900,10.42,11362,Defaulted,314
L100266,F20266,Daund,4.1,0,0,Sugarcane,Kharif,28800,7.85,7024,Defaulted,114
L100267,F20267,Daund,2.2,2,0,Sugarcane,Rabi,22000,10.26,10000,"Paid On Time",0
L100268,F20268,Indapur,2.9,2,0,Cotton,Rabi,44700,7.74,15414,"Paid On Time",0
L100269,F20269,Phaltan,7.7,0,0,Sugarcane,Kharif,89900,10.62,11675,Defaulted,310
L100270,F20270,Daund,2.1,0,0,Cotton,Kharif,27600,8.94,13143,"Paid Late",5
L100271,F20271,Indapur,4.4,2,0,Onion,Rabi,67800,11.2,15409,"Paid On Time",0
L100272,F20272,Baramati,6,0,0,Cotton,Rabi,76900,7.44,12817,"Paid On Time",0
L100273,F20273,Baramati,4.7,1,1,Sugarcane,Rabi,73500,9.3,15638,"Paid Late",59
